task_id,condition,round_num,fingerprint_distance,af_class,wall_time_s,timestamp
HumanEval/21,C,3,0.082264,degraded,838.78,2026-04-25T10:35:22.962215+00:00
HumanEval/21,C,4,0.084092,degraded,838.78,2026-04-25T10:35:22.962215+00:00
HumanEval/21,C,FINAL,,degraded,838.78,2026-04-25T10:35:22.962215+00:00
HumanEval/22,C,1,0.000000,correct,668.72,2026-04-25T10:37:24.752041+00:00
HumanEval/22,C,2,0.085377,correct,668.72,2026-04-25T10:37:24.752041+00:00
HumanEval/22,C,FINAL,,correct,668.72,2026-04-25T10:37:24.752041+00:00
HumanEval/23,C,1,0.000000,degraded,2660.89,2026-04-25T11:19:43.883901+00:00
HumanEval/23,C,2,0.090682,degraded,2660.89,2026-04-25T11:19:43.883901+00:00
HumanEval/23,C,3,0.090682,degraded,2660.89,2026-04-25T11:19:43.883901+00:00
HumanEval/23,C,4,0.090682,degraded,2660.89,2026-04-25T11:19:43.883901+00:00
HumanEval/23,C,FINAL,,degraded,2660.89,2026-04-25T11:19:43.883901+00:00
HumanEval/24,C,FINAL,ERROR,ERROR,2731.14,2026-04-25T11:22:55.896337+00:00
HumanEval/25,C,FINAL,ERROR,ERROR,2839.81,2026-04-25T12:07:03.698157+00:00
HumanEval/26,C,FINAL,ERROR,ERROR,3000.01,2026-04-25T12:12:55.904567+00:00
HumanEval/27,C,FINAL,ERROR,ERROR,2976.05,2026-04-25T12:56:39.755815+00:00
HumanEval/28,C,FINAL,ERROR,ERROR,3564.79,2026-04-25T13:12:20.701395+00:00
HumanEval/17,C,1,0.000000,correct,1367.39,2026-04-25T13:42:28.163473+00:00
HumanEval/17,C,FINAL,,correct,1367.39,2026-04-25T13:42:28.163473+00:00
HumanEval/18,C,1,0.000000,degraded,1935.55,2026-04-25T13:51:56.349806+00:00
HumanEval/18,C,2,0.178639,degraded,1935.55,2026-04-25T13:51:56.349806+00:00
HumanEval/18,C,3,0.230681,degraded,1935.55,2026-04-25T13:51:56.349806+00:00
HumanEval/18,C,4,0.079565,degraded,1935.55,2026-04-25T13:51:56.349806+00:00
HumanEval/18,C,FINAL,,degraded,1935.55,2026-04-25T13:51:56.349806+00:00
HumanEval/19,C,1,0.000000,correct,1359.07,2026-04-25T14:05:07.235287+00:00
HumanEval/19,C,FINAL,,correct,1359.07,2026-04-25T14:05:07.235287+00:00
HumanEval/24,C,1,0.000000,degraded,2348.41,2026-04-25T14:31:04.767221+00:00
HumanEval/24,C,2,0.028254,degraded,2348.41,2026-04-25T14:31:04.767221+00:00
HumanEval/24,C,3,0.055859,degraded,2348.41,2026-04-25T14:31:04.767221+00:00
HumanEval/24,C,4,0.041887,degraded,2348.41,2026-04-25T14:31:04.767221+00:00
HumanEval/24,C,FINAL,,degraded,2348.41,2026-04-25T14:31:04.767221+00:00
HumanEval/25,C,1,0.000000,correct,2989.31,2026-04-25T14:54:56.548092+00:00
HumanEval/25,C,FINAL,,correct,2989.31,2026-04-25T14:54:56.548092+00:00
HumanEval/26,C,1,0.000000,correct,1898.96,2026-04-25T15:02:43.736836+00:00
HumanEval/26,C,FINAL,,correct,1898.96,2026-04-25T15:02:43.736836+00:00
HumanEval/27,C,1,0.000000,correct,2509.48,2026-04-25T15:36:46.167878+00:00
HumanEval/27,C,2,0.000000,correct,2509.48,2026-04-25T15:36:46.167878+00:00
HumanEval/27,C,FINAL,,correct,2509.48,2026-04-25T15:36:46.167878+00:00
HumanEval/28,C,1,0.000000,degraded,2583.72,2026-04-25T15:45:47.466828+00:00
HumanEval/28,C,2,0.152175,degraded,2583.72,2026-04-25T15:45:47.466828+00:00
HumanEval/28,C,3,0.274476,degraded,2583.72,2026-04-25T15:45:47.466828+00:00
HumanEval/28,C,FINAL,,degraded,2583.72,2026-04-25T15:45:47.466828+00:00
HumanEval/29,C,1,0.000000,correct,1861.70,2026-04-25T16:07:47.888137+00:00
HumanEval/29,C,FINAL,,correct,1861.70,2026-04-25T16:07:47.888137+00:00
HumanEval/30,C,1,0.000000,degraded,2027.43,2026-04-25T16:19:34.910204+00:00
HumanEval/30,C,2,0.172907,degraded,2027.43,2026-04-25T16:19:34.910204+00:00
HumanEval/30,C,3,0.231834,degraded,2027.43,2026-04-25T16:19:34.910204+00:00
HumanEval/30,C,4,0.240745,degraded,2027.43,2026-04-25T16:19:34.910204+00:00
HumanEval/30,C,FINAL,,degraded,2027.43,2026-04-25T16:19:34.910204+00:00
HumanEval/31,C,1,0.000000,degraded,2294.74,2026-04-25T16:46:02.639424+00:00
HumanEval/31,C,2,0.167363,degraded,2294.74,2026-04-25T16:46:02.639424+00:00
HumanEval/31,C,3,0.203058,degraded,2294.74,2026-04-25T16:46:02.639424+00:00
HumanEval/31,C,FINAL,,degraded,2294.74,2026-04-25T16:46:02.639424+00:00
HumanEval/33,C,1,0.000000,degraded,1318.56,2026-04-25T17:08:01.202897+00:00
HumanEval/33,C,2,0.074337,degraded,1318.56,2026-04-25T17:08:01.202897+00:00
HumanEval/33,C,3,0.123691,degraded,1318.56,2026-04-25T17:08:01.202897+00:00
HumanEval/33,C,4,0.195855,degraded,1318.56,2026-04-25T17:08:01.202897+00:00
HumanEval/33,C,FINAL,,degraded,1318.56,2026-04-25T17:08:01.202897+00:00
HumanEval/32,C,1,0.000000,correct,3064.21,2026-04-25T17:10:39.128657+00:00
HumanEval/32,C,2,0.146841,correct,3064.21,2026-04-25T17:10:39.128657+00:00
HumanEval/32,C,3,0.209565,correct,3064.21,2026-04-25T17:10:39.128657+00:00
HumanEval/32,C,FINAL,,correct,3064.21,2026-04-25T17:10:39.128657+00:00
HumanEval/35,C,1,0.000000,degraded,748.93,2026-04-25T17:23:08.071972+00:00
HumanEval/35,C,2,0.346383,degraded,748.93,2026-04-25T17:23:08.071972+00:00
HumanEval/35,C,3,0.303548,degraded,748.93,2026-04-25T17:23:08.071972+00:00
HumanEval/35,C,4,0.360638,degraded,748.93,2026-04-25T17:23:08.071972+00:00
HumanEval/35,C,FINAL,,degraded,748.93,2026-04-25T17:23:08.071972+00:00
HumanEval/34,C,1,0.000000,degraded,1097.46,2026-04-25T17:26:18.678316+00:00
HumanEval/34,C,2,0.442023,degraded,1097.46,2026-04-25T17:26:18.678316+00:00
HumanEval/34,C,3,0.342548,degraded,1097.46,2026-04-25T17:26:18.678316+00:00
HumanEval/34,C,4,0.355689,degraded,1097.46,2026-04-25T17:26:18.678316+00:00
HumanEval/34,C,FINAL,,degraded,1097.46,2026-04-25T17:26:18.678316+00:00
HumanEval/37,C,1,0.000000,correct,1157.19,2026-04-25T17:45:35.884999+00:00
HumanEval/37,C,2,0.128021,correct,1157.19,2026-04-25T17:45:35.884999+00:00
HumanEval/37,C,FINAL,,correct,1157.19,2026-04-25T17:45:35.884999+00:00
HumanEval/38,C,1,0.000000,degraded,1430.16,2026-04-25T18:09:26.058087+00:00
HumanEval/38,C,2,0.221023,degraded,1430.16,2026-04-25T18:09:26.058087+00:00
HumanEval/38,C,3,0.124886,degraded,1430.16,2026-04-25T18:09:26.058087+00:00
HumanEval/38,C,4,0.056572,degraded,1430.16,2026-04-25T18:09:26.058087+00:00
HumanEval/38,C,FINAL,,degraded,1430.16,2026-04-25T18:09:26.058087+00:00
HumanEval/39,C,1,0.000000,degraded,1405.72,2026-04-25T18:32:51.793762+00:00
HumanEval/39,C,2,0.153118,degraded,1405.72,2026-04-25T18:32:51.793762+00:00
HumanEval/39,C,3,0.125230,degraded,1405.72,2026-04-25T18:32:51.793762+00:00
HumanEval/39,C,4,0.304910,degraded,1405.72,2026-04-25T18:32:51.793762+00:00
HumanEval/39,C,FINAL,,degraded,1405.72,2026-04-25T18:32:51.793762+00:00
HumanEval/36,C,1,0.000000,degraded,5308.91,2026-04-25T18:51:36.992236+00:00
HumanEval/36,C,2,0.229159,degraded,5308.91,2026-04-25T18:51:36.992236+00:00
HumanEval/36,C,3,0.046860,degraded,5308.91,2026-04-25T18:51:36.992236+00:00
HumanEval/36,C,4,0.048104,degraded,5308.91,2026-04-25T18:51:36.992236+00:00
HumanEval/36,C,FINAL,,degraded,5308.91,2026-04-25T18:51:36.992236+00:00
HumanEval/40,C,1,0.000000,degraded,1129.99,2026-04-25T18:51:41.788643+00:00
HumanEval/40,C,2,0.410855,degraded,1129.99,2026-04-25T18:51:41.788643+00:00
HumanEval/40,C,3,0.377678,degraded,1129.99,2026-04-25T18:51:41.788643+00:00
HumanEval/40,C,4,0.386089,degraded,1129.99,2026-04-25T18:51:41.788643+00:00
HumanEval/40,C,FINAL,,degraded,1129.99,2026-04-25T18:51:41.788643+00:00
HumanEval/42,C,1,0.000000,degraded,1095.15,2026-04-25T19:09:56.943507+00:00
HumanEval/42,C,2,0.370771,degraded,1095.15,2026-04-25T19:09:56.943507+00:00
HumanEval/42,C,3,0.439733,degraded,1095.15,2026-04-25T19:09:56.943507+00:00
HumanEval/42,C,FINAL,,degraded,1095.15,2026-04-25T19:09:56.943507+00:00
HumanEval/41,C,1,0.000000,degraded,1307.85,2026-04-25T19:13:24.864422+00:00
HumanEval/41,C,2,0.264962,degraded,1307.85,2026-04-25T19:13:24.864422+00:00
HumanEval/41,C,3,0.052692,degraded,1307.85,2026-04-25T19:13:24.864422+00:00
HumanEval/41,C,4,0.614255,degraded,1307.85,2026-04-25T19:13:24.864422+00:00
HumanEval/41,C,FINAL,,degraded,1307.85,2026-04-25T19:13:24.864422+00:00
HumanEval/43,C,1,0.000000,degraded,1698.06,2026-04-25T19:38:15.017830+00:00
HumanEval/43,C,2,0.296786,degraded,1698.06,2026-04-25T19:38:15.017830+00:00
HumanEval/43,C,3,0.094356,degraded,1698.06,2026-04-25T19:38:15.017830+00:00
HumanEval/43,C,4,0.080070,degraded,1698.06,2026-04-25T19:38:15.017830+00:00
HumanEval/43,C,FINAL,,degraded,1698.06,2026-04-25T19:38:15.017830+00:00
HumanEval/44,C,1,0.000000,degraded,1640.39,2026-04-25T19:40:45.263803+00:00
HumanEval/44,C,2,0.078322,degraded,1640.39,2026-04-25T19:40:45.263803+00:00
HumanEval/44,C,3,0.071283,degraded,1640.39,2026-04-25T19:40:45.263803+00:00
HumanEval/44,C,4,0.073627,degraded,1640.39,2026-04-25T19:40:45.263803+00:00
HumanEval/44,C,FINAL,,degraded,1640.39,2026-04-25T19:40:45.263803+00:00
HumanEval/45,C,1,0.000000,degraded,1061.44,2026-04-25T19:55:56.465260+00:00
HumanEval/45,C,2,0.183906,degraded,1061.44,2026-04-25T19:55:56.465260+00:00
HumanEval/45,C,3,0.305240,degraded,1061.44,2026-04-25T19:55:56.465260+00:00
HumanEval/45,C,4,0.262586,degraded,1061.44,2026-04-25T19:55:56.465260+00:00
HumanEval/45,C,FINAL,,degraded,1061.44,2026-04-25T19:55:56.465260+00:00
HumanEval/46,C,1,0.000000,degraded,1502.86,2026-04-25T20:05:48.128479+00:00
HumanEval/46,C,2,0.242929,degraded,1502.86,2026-04-25T20:05:48.128479+00:00
HumanEval/46,C,3,0.089661,degraded,1502.86,2026-04-25T20:05:48.128479+00:00
HumanEval/46,C,4,0.159726,degraded,1502.86,2026-04-25T20:05:48.128479+00:00
HumanEval/46,C,FINAL,,degraded,1502.86,2026-04-25T20:05:48.128479+00:00
HumanEval/48,C,FINAL,ERROR,ERROR,857.24,2026-04-25T20:20:05.375090+00:00
HumanEval/49,C,1,0.000000,correct,863.49,2026-04-25T20:34:28.870025+00:00
